Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp
Exp_40_MT_1,Naive_1,Naive_1,6.819,6.8025,0.0165,0.988628225
Exp_40_MT_1,Naive_2,Naive_2,6.786,6.8025,-0.0165,1.01150258
Exp_40_MT_1,KQ958_10uM,KQ958_10uM,8.056,6.8025,1.2535,0.41942943
Exp_40_MT_1,KQ106_10uM,KQ106_10uM,8.162,6.8025,1.3595,0.389717332
Exp_40_MT_1,KQ830_10uM,KQ830_10uM,7.149,6.8025,0.3465,0.786489822
Exp_40_MT_1,KQ373_10uM,KQ373_10uM,9.161,6.8025,2.3585,0.194993779
Exp_40_MT_1,KQ500_10uM,KQ500_10uM,9.116,6.8025,2.3135,0.201171801
Exp_40_MT_1,KQ479_10uM,KQ479_10uM,7.958,6.8025,1.1555,0.448910579
Exp_40_MT_1,KQ105_10uM,KQ105_10uM,7.474,6.8025,0.6715,0.627853555
Exp_40_MT_1,KQ920_10uM,KQ920_10uM,7.404,6.8025,0.6015,0.659068352
Exp_40_MT_1,KQ332_10uM,KQ332_10uM,8.348,6.8025,1.5455,0.342576953
Exp_40_MT_1,KQ501_10uM,KQ501_10uM,8.29,6.8025,1.4875,0.356630006
Exp_40_MT_1,KQ480_10uM,KQ480_10uM,7.999,6.8025,1.1965,0.436332548
Exp_40_MT_1,KQJM071_10uM,KQJM071_10uM,7.609,6.8025,0.8065,0.571767293
Exp_40_MT_1,KQ921_10uM,KQ921_10uM,7.673,6.8025,0.8705,0.546957257
Exp_40_MT_1,KQ258_10uM,KQ258_10uM,8.234,6.8025,1.4315,0.370745221
Exp_40_MT_1,KQ955_10uM,KQ955_10uM,9.485,6.8025,2.6825,0.155771154
Exp_40_MT_1,KQ995_10uM,KQ995_10uM,8.451,6.8025,1.6485,0.318971626
Exp_40_MT_1,KQ928_10uM,KQ928_10uM,7.623,6.8025,0.8205,0.566245663
Exp_40_MT_1,KQ371_10uM,KQ371_10uM,8.695,6.8025,1.8925,0.269339924
Exp_40_MT_1,Ionis 676630_10uM,Ionis 676630_10uM,6.847,6.8025,0.0445,0.969625805
Exp_40_MT_1,KQ957_10uM,KQ957_10uM,8.897,6.8025,2.0945,0.234149198
Exp_40_MT_1,KQ288_10uM,KQ288_10uM,7.681,6.8025,0.8785,0.543932675
Exp_40_MT_1,KQ980_10uM,KQ980_10uM,7.772,6.8025,0.9695,0.510683021
Exp_40_MT_1,KQ280_10uM,KQ280_10uM,8.284,6.8025,1.4815,0.358116277
Exp_40_MT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,8.443,6.8025,1.6405,0.320745293
Exp_40_MT_1,KQ956_10uM,KQ956_10uM,9.058,6.8025,2.2555,0.20942419
Exp_40_MT_1,KQ426_10uM,KQ426_10uM,7.31,6.8025,0.5075,0.703440352
Exp_40_MT_1,KQJM069_10uM,KQJM069_10uM,7.09,6.8025,0.2875,0.819320604
Exp_40_MT_1,KQ372_10uM,KQ372_10uM,8.464,6.8025,1.6615,0.316110311
Exp_40_MT_2,Naive_1,Naive_1,8.087,7.537,0.55,0.683020128
Exp_40_MT_2,Naive_2,Naive_2,6.987,7.537,-0.55,1.464085696
Exp_40_MT_2,KQ958_10uM,KQ958_10uM,8.196,7.537,0.659,0.633317127
Exp_40_MT_2,KQ106_10uM,KQ106_10uM,7.859,7.537,0.322,0.799960128
Exp_40_MT_2,KQ830_10uM,KQ830_10uM,7.674,7.537,0.137,0.909408252
Exp_40_MT_2,KQ373_10uM,KQ373_10uM,10.283,7.537,2.746,0.149063609
Exp_40_MT_2,KQ500_10uM,KQ500_10uM,9.542,7.537,2.005,0.249135066
Exp_40_MT_2,KQ479_10uM,KQ479_10uM,8.485,7.537,0.948,0.518350551
Exp_40_MT_2,KQ105_10uM,KQ105_10uM,7.994,7.537,0.457,0.728499557
Exp_40_MT_2,KQ920_10uM,KQ920_10uM,7.964,7.537,0.427,0.743806881
Exp_40_MT_2,KQ332_10uM,KQ332_10uM,8.847,7.537,1.31,0.40332088
Exp_40_MT_2,KQ501_10uM,KQ501_10uM,8.911,7.537,1.374,0.385820044
Exp_40_MT_2,KQ480_10uM,KQ480_10uM,8.56,7.537,1.023,0.492092011
Exp_40_MT_2,KQJM071_10uM,KQJM071_10uM,8.038,7.537,0.501,0.706616822
Exp_40_MT_2,KQ921_10uM,KQ921_10uM,8.246,7.537,0.709,0.611744021
Exp_40_MT_2,KQ258_10uM,KQ258_10uM,8.805,7.537,1.268,0.415235012
Exp_40_MT_2,KQ955_10uM,KQ955_10uM,9.807,7.537,2.27,0.207329886
Exp_40_MT_2,KQ995_10uM,KQ995_10uM,8.964,7.537,1.427,0.371903441
Exp_40_MT_2,KQ928_10uM,KQ928_10uM,8.286,7.537,0.749,0.595015848
Exp_40_MT_2,KQ371_10uM,KQ371_10uM,9.214,7.537,1.677,0.31273227
Exp_40_MT_2,Ionis 676630_10uM,Ionis 676630_10uM,7.706,7.537,0.169,0.889458994
Exp_40_MT_2,KQ957_10uM,KQ957_10uM,9.18,7.537,1.643,0.320189965
Exp_40_MT_2,KQ288_10uM,KQ288_10uM,8.426,7.537,0.889,0.53998828
Exp_40_MT_2,KQ980_10uM,KQ980_10uM,8.388,7.537,0.851,0.554400322
Exp_40_MT_2,KQ280_10uM,KQ280_10uM,8.901,7.537,1.364,0.388503634
Exp_40_MT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,9.682,7.537,2.145,0.226094844
Exp_40_MT_2,KQ956_10uM,KQ956_10uM,9.432,7.537,1.895,0.268873598
Exp_40_MT_2,KQ426_10uM,KQ426_10uM,8.348,7.537,0.811,0.569986636
Exp_40_MT_2,KQJM069_10uM,KQJM069_10uM,7.69,7.537,0.153,0.899378312
Exp_40_MT_2,KQ372_10uM,KQ372_10uM,9.141,7.537,1.604,0.328963631
Exp_40_WT_1,Naive_1,Naive_1,6.819,6.7795,0.0395,0.972992102
Exp_40_WT_1,Naive_2,Naive_2,6.74,6.7795,-0.0395,1.027757571
Exp_40_WT_1,KQ958_10uM,KQ958_10uM,7.438,6.7795,0.6585,0.633536656
Exp_40_WT_1,KQ106_10uM,KQ106_10uM,7.874,6.7795,1.0945,0.468298395
Exp_40_WT_1,KQ830_10uM,KQ830_10uM,6.806,6.7795,0.0265,0.981799271
Exp_40_WT_1,KQ373_10uM,KQ373_10uM,8.374,6.7795,1.5945,0.331136971
Exp_40_WT_1,KQ500_10uM,KQ500_10uM,7.696,6.7795,0.9165,0.529792748
Exp_40_WT_1,KQ479_10uM,KQ479_10uM,7.346,6.7795,0.5665,0.675252977
Exp_40_WT_1,KQ105_10uM,KQ105_10uM,7.432,6.7795,0.6525,0.636176947
Exp_40_WT_1,KQ920_10uM,KQ920_10uM,6.972,6.7795,0.1925,0.875087995
Exp_40_WT_1,KQ332_10uM,KQ332_10uM,8.305,6.7795,1.5255,0.347359149
Exp_40_WT_1,KQ501_10uM,KQ501_10uM,7.288,6.7795,0.5085,0.702952933
Exp_40_WT_1,KQ480_10uM,KQ480_10uM,7.396,6.7795,0.6165,0.652251382
Exp_40_WT_1,KQJM071_10uM,KQJM071_10uM,7.093,6.7795,0.3135,0.804687206
Exp_40_WT_1,KQ921_10uM,KQ921_10uM,6.963,6.7795,0.1835,0.880564141
Exp_40_WT_1,KQ258_10uM,KQ258_10uM,7.732,6.7795,0.9525,0.51673625
Exp_40_WT_1,KQ955_10uM,KQ955_10uM,8.305,6.7795,1.5255,0.347359149
Exp_40_WT_1,KQ995_10uM,KQ995_10uM,7.443,6.7795,0.6635,0.631344786
Exp_40_WT_1,KQ928_10uM,KQ928_10uM,7.068,6.7795,0.2885,0.818752891
Exp_40_WT_1,KQ371_10uM,KQ371_10uM,7.733,6.7795,0.9535,0.5163782
Exp_40_WT_1,Ionis 676630_10uM,Ionis 676630_10uM,6.849,6.7795,0.0695,0.952968214
Exp_40_WT_1,KQ957_10uM,KQ957_10uM,8.154,6.7795,1.3745,0.385686352
Exp_40_WT_1,KQ288_10uM,KQ288_10uM,7.41,6.7795,0.6305,0.645952506
Exp_40_WT_1,KQ980_10uM,KQ980_10uM,7.1,6.7795,0.3205,0.800792296
Exp_40_WT_1,KQ280_10uM,KQ280_10uM,7.308,6.7795,0.5285,0.693275172
Exp_40_WT_1,Ionis 1375651_10uM,Ionis 1375651_10uM,9.571,6.7795,2.7915,0.144435772
Exp_40_WT_1,KQ956_10uM,KQ956_10uM,8.287,6.7795,1.5075,0.351720176
Exp_40_WT_1,KQ426_10uM,KQ426_10uM,7.001,6.7795,0.2215,0.857673232
Exp_40_WT_1,KQJM069_10uM,KQJM069_10uM,6.964,6.7795,0.1845,0.879953992
Exp_40_WT_1,KQ372_10uM,KQ372_10uM,7.268,6.7795,0.4885,0.71276579
Exp_40_WT_2,Naive_1,Naive_1,6.861,6.5805,0.2805,0.823305632
Exp_40_WT_2,Naive_2,Naive_2,6.3,6.5805,-0.2805,1.214615765
Exp_40_WT_2,KQ958_10uM,KQ958_10uM,6.948,6.5805,0.3675,0.775124522
Exp_40_WT_2,KQ106_10uM,KQ106_10uM,7.022,6.5805,0.4415,0.736368593
Exp_40_WT_2,KQ830_10uM,KQ830_10uM,6.593,6.5805,0.0125,0.991373087
Exp_40_WT_2,KQ373_10uM,KQ373_10uM,8.409,6.5805,1.8285,0.28155721
Exp_40_WT_2,KQ500_10uM,KQ500_10uM,7.348,6.5805,0.7675,0.58743454
Exp_40_WT_2,KQ479_10uM,KQ479_10uM,6.922,6.5805,0.3415,0.789220316
Exp_40_WT_2,KQ105_10uM,KQ105_10uM,7.016,6.5805,0.4355,0.739437441
Exp_40_WT_2,KQ920_10uM,KQ920_10uM,6.846,6.5805,0.2655,0.831910367
Exp_40_WT_2,KQ332_10uM,KQ332_10uM,7.363,6.5805,0.7825,0.581358502
Exp_40_WT_2,KQ501_10uM,KQ501_10uM,7.11,6.5805,0.5295,0.692794797
Exp_40_WT_2,KQ480_10uM,KQ480_10uM,7.016,6.5805,0.4355,0.739437441
Exp_40_WT_2,KQJM071_10uM,KQJM071_10uM,6.745,6.5805,0.1645,0.892237692
Exp_40_WT_2,KQ921_10uM,KQ921_10uM,6.842,6.5805,0.2615,0.834220112
Exp_40_WT_2,KQ258_10uM,KQ258_10uM,7.651,6.5805,1.0705,0.476153948
Exp_40_WT_2,KQ955_10uM,KQ955_10uM,7.964,6.5805,1.3835,0.383287804
Exp_40_WT_2,KQ995_10uM,KQ995_10uM,7.214,6.5805,0.6335,0.644610682
Exp_40_WT_2,KQ928_10uM,KQ928_10uM,6.992,6.5805,0.4115,0.751841262
Exp_40_WT_2,KQ371_10uM,KQ371_10uM,7.594,6.5805,1.0135,0.495343079
Exp_40_WT_2,Ionis 676630_10uM,Ionis 676630_10uM,7.513,6.5805,0.9325,0.523949619
Exp_40_WT_2,KQ957_10uM,KQ957_10uM,7.749,6.5805,1.1685,0.444883655
Exp_40_WT_2,KQ288_10uM,KQ288_10uM,7.313,6.5805,0.7325,0.601860066
Exp_40_WT_2,KQ980_10uM,KQ980_10uM,7.017,6.5805,0.4365,0.738925079
Exp_40_WT_2,KQ280_10uM,KQ280_10uM,7.011,6.5805,0.4305,0.742004582
Exp_40_WT_2,Ionis 1375651_10uM,Ionis 1375651_10uM,8.832,6.5805,2.2515,0.210005643
Exp_40_WT_2,KQ956_10uM,KQ956_10uM,7.851,6.5805,1.2705,0.414516088
Exp_40_WT_2,KQ426_10uM,KQ426_10uM,7.488,6.5805,0.9075,0.533108097
Exp_40_WT_2,KQJM069_10uM,KQJM069_10uM,6.794,6.5805,0.2135,0.862442393
Exp_40_WT_2,KQ372_10uM,KQ372_10uM,7.211,6.5805,0.6305,0.645952506