Experiment Name,Position,SampleName,ASO Microsynth ID ,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 7,Avg,SD,ddCt,Avg_ddCt,Exp
ASO469-516_WT_1.2-4_20210630,G1,Naïve_P40,Naïve_P40,29.0609870352585,21.2256516197421,7.835335415516401,,,,-0.5749075344818326,-0.6309735044075998,1.5486096146951704
ASO469-516_WT_1.2-4_20210630,G2,Naïve_P40,Naïve_P40,28.9735264326256,21.2264729174736,7.747053515152,,,,-0.6631894348462328,,
ASO469-516_WT_1.2-4_20210630,G3,Naïve_P40,Naïve_P40,29.0042559982779,21.2488365921744,7.755419406103499,,,,-0.6548235438947341,,
ASO469-516_WT_1.2-4_20210630,G4,Naïve_P40,Naïve_P40,29.2567104782704,21.1279547741726,8.128755704097799,,,,-0.2814872459004345,-0.39387040716696653,1.3139135970540354
ASO469-516_WT_1.2-4_20210630,G5,Naïve_P40,Naïve_P40,29.1120034262127,21.1497939645075,7.9622094617052,,,,-0.44803348829303324,,
ASO469-516_WT_1.2-4_20210630,G6,Naïve_P40,Naïve_P40,29.1436502373857,21.1854977746949,7.958152462690801,,,,-0.45209048730743184,,
ASO469-516_WT_1.2-4_20210630,G7,Naïve_P40,Naïve_P40,28.5959469003704,20.9200850998638,7.675861800506599,,,,-0.7343811494916341,-0.708252212576534,1.6338235830065526
ASO469-516_WT_1.2-4_20210630,G8,Naïve_P40,Naïve_P40,28.5383082793959,20.865565678891,7.6727426005049,,,,-0.7375003494933328,,
ASO469-516_WT_1.2-4_20210630,G9,Naïve_P40,Naïve_P40,28.610587720307,20.8532199090534,7.757367811253598,,,,-0.6528751387446352,,
ASO469-516_WT_1.2-4_20210630,H1,Naïve_P40,Naïve_P40,28.9508552108009,21.0499755855873,7.900879625213598,,,,-0.5093633247846352,-0.44404163484856635,1.3604101120208485
ASO469-516_WT_1.2-4_20210630,H2,Naïve_P40,Naïve_P40,29.0805002235763,21.0892521152416,7.991248108334702,,,,-0.4189948416635314,,
ASO469-516_WT_1.2-4_20210630,H3,Naïve_P40,Naïve_P40,29.1096427465276,21.1031665346269,8.0064762119007,,,,-0.4037667380975325,,
ASO469-516_WT_1.2-4_20210630,H4,Naïve_P40,Naïve_P40,28.8176145338107,20.7693918832686,8.048222650542101,,,,-0.3620202994561321,-0.31332791991110004,1.2425706819812559
ASO469-516_WT_1.2-4_20210630,H5,Naïve_P40,Naïve_P40,28.8458274623695,20.7364442067044,8.109383255665097,,,,-0.30085969433313586,,
ASO469-516_WT_1.2-4_20210630,H6,Naïve_P40,Naïve_P40,28.8530376953494,20.7198985112952,8.133139184054201,,,,-0.2771037659440321,,
ASO469-516_WT_1.2-4_20210630,H7,Naïve_P40,Naïve_P40,29.1337550082862,21.2301147590431,7.9036402492431,,,,-0.506602700755133,-0.5635649918079325,1.4779167356800151
ASO469-516_WT_1.2-4_20210630,H8,Naïve_P40,Naïve_P40,29.0861744320106,21.2053258715281,7.880848560482502,,,,-0.5293943895157316,,
ASO469-516_WT_1.2-4_20210630,H9,Naïve_P40,Naïve_P40,29.0214425767006,21.2658975118553,7.7555450648453,,,,-0.6546978851529328,,
ASO469-516_WT_1.2-4_20210630,G10,Ionis1375651_10_P40,Ionis1375651_10_P40,36.1279065389691,25.2941265454067,10.833779993562398,,,,2.423537043564165,2.2453479696707017,0.21090307429993102
ASO469-516_WT_1.2-4_20210630,G11,Ionis1375651_10_P40,Ionis1375651_10_P40,35.8623863245689,25.2799028683418,10.582483456227102,,,,2.172240506228869,,
ASO469-516_WT_1.2-4_20210630,G12,Ionis1375651_10_P40,Ionis1375651_10_P40,35.7990840612479,25.2485747520306,10.550509309217304,,,,2.140266359219071,,
ASO469-516_WT_1.2-4_20210630,H10,Ionis1375651_10_P40,Ionis1375651_10_P40,35.9805892738912,26.7183545695519,9.2622347043393,,,,0.851991754341066,1.3488344569072677,0.39260910697001933
ASO469-516_WT_1.2-4_20210630,H11,Ionis1375651_10_P40,Ionis1375651_10_P40,36.9726165367682,26.7179825390263,10.254633997741902,,,,1.8443910477436685,,
ASO469-516_WT_1.2-4_20210630,H12,Ionis1375651_10_P40,Ionis1375651_10_P40,36.5405993011179,26.7802357824826,9.760363518635302,,,,1.3501205686370685,,
ASO469-516_WT_1.2-4_20210630,G13,Ionis676630_10_P40,Ionis676630_10_P40,33.8222977864228,25.6008756622106,8.2214221242122,8.367092753141668,8.410242949998233,0.44854469068609604,-0.1888208257860331,-0.043150196856564925,1.0303612174257402
ASO469-516_WT_1.2-4_20210630,G14,Ionis676630_10_P40,Ionis676630_10_P40,34.0639454285078,25.5868874027437,8.477058025764102,,,,0.06681507576586831,,
ASO469-516_WT_1.2-4_20210630,G15,Ionis676630_10_P40,Ionis676630_10_P40,33.9325449585164,25.5297468490677,8.402798109448703,,,,-0.007444840549529985,,
ASO469-516_WT_1.2-4_20210630,G16,Ionis676630_10_P40,Ionis676630_10_P40,34.0762232983431,25.2824175939824,8.7938057043607,8.850322796652167,,,0.3835627543624671,0.4400798466539341,0.737093812703507
ASO469-516_WT_1.2-4_20210630,G17,Ionis676630_10_P40,Ionis676630_10_P40,34.0439534766144,25.2715047748336,8.7724487017808,,,,0.3622057517825663,,
ASO469-516_WT_1.2-4_20210630,G18,Ionis676630_10_P40,Ionis676630_10_P40,34.1444967896573,25.1597828058423,8.984713983815002,,,,0.5744710338167689,,
ASO469-516_WT_1.2-4_20210630,H13,Ionis676630_10_P40,Ionis676630_10_P40,35.4936283131195,27.183415924586,8.3102123885335,8.617529424705735,,,-0.10003056146473277,0.20728647470750103,0.8661648457177665
ASO469-516_WT_1.2-4_20210630,H14,Ionis676630_10_P40,Ionis676630_10_P40,35.796109432152,27.1622818187618,8.6338276133902,,,,0.22358466339196603,,
ASO469-516_WT_1.2-4_20210630,H15,Ionis676630_10_P40,Ionis676630_10_P40,36.1370183135062,27.2284700413127,8.908548272193503,,,,0.4983053221952698,,
ASO469-516_WT_1.2-4_20210630,H16,Ionis676630_10_P40,Ionis676630_10_P40,34.4040787867161,26.3336076648682,8.070471121847898,7.8060268254933645,,,-0.3397718281503348,-0.6042161245048691,1.5201525674589966
ASO469-516_WT_1.2-4_20210630,H17,Ionis676630_10_P40,Ionis676630_10_P40,34.1783021773825,26.3112465319493,7.867055645433197,,,,-0.5431873045650359,,
ASO469-516_WT_1.2-4_20210630,H18,Ionis676630_10_P40,Ionis676630_10_P40,33.9361111801978,26.4555574709988,7.480553709198997,,,,-0.9296892407992363,,
ASO469-516_WT_1.2-4_20210630,A1,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.216401600621,24.4127871403522,8.803614460268797,,,,0.3933715102705637,0.5757596747602971,0.6709328676412945
ASO469-516_WT_1.2-4_20210630,A2,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.4747319933758,24.3740543754338,9.100677617941997,,,,0.6904346679437641,,
ASO469-516_WT_1.2-4_20210630,A3,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.5436719021104,24.4899561060456,9.053715796064797,,,,0.6434728460665635,,
ASO469-516_WT_1.2-4_20210630,A4,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.7015490676426,24.5968803863808,9.104668681261803,,,,0.6944257312635695,0.5059269782027341,0.7042077559259868
ASO469-516_WT_1.2-4_20210630,A5,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.6335372315946,24.5874415221789,9.046095709415702,,,,0.6358527594174692,,
ASO469-516_WT_1.2-4_20210630,A6,ASO469_10,KQ2049_L21_7-08-6_10uM_P40,33.2507080839307,24.6529626900053,8.597745393925397,,,,0.18750244392716375,,
ASO469-516_WT_1.2-4_20210630,A7,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.293985065279,22.2691577108908,9.0248273543882,,,,0.6145844043899675,0.6908682219829346,0.6194809306629909
ASO469-516_WT_1.2-4_20210630,A8,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.4665059736874,22.2554574607077,9.211048512979701,,,,0.8008055629814681,,
ASO469-516_WT_1.2-4_20210630,A9,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,31.3231855662047,22.2557279176291,9.067457648575601,,,,0.6572146985773681,,
ASO469-516_WT_1.2-4_20210630,A10,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.1981872565027,22.8123614141285,9.3858258423742,,,,0.9755828923759662,0.8615957662316335,0.5503434857475236
ASO469-516_WT_1.2-4_20210630,A11,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.0136711109171,22.8093926326029,9.204278478314201,,,,0.7940355283159679,,
ASO469-516_WT_1.2-4_20210630,A12,ASO469_3,KQ2049_L21_7-08-6_3uM_P40,32.0486546490069,22.8232428210057,9.2254118280012,,,,0.8151688780029662,,
ASO469-516_WT_1.2-4_20210630,B1,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.7331988542951,24.4295722298655,9.303626624429597,,,,0.8933836744313641,0.522754418361601,0.6960416689821384
ASO469-516_WT_1.2-4_20210630,B2,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.0810744395429,24.3673593905959,8.713715048947002,,,,0.3034720989487685,,
ASO469-516_WT_1.2-4_20210630,B3,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.1933125046431,24.4116620729402,8.781650431702904,,,,0.3714074817046704,,
ASO469-516_WT_1.2-4_20210630,B4,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.8103113872554,24.9821196494456,8.828191737809803,,,,0.41794878781156974,0.5492095187830687,0.6833944711932003
ASO469-516_WT_1.2-4_20210630,B5,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,34.0078476192116,24.9201661244107,9.087681494800904,,,,0.677438544802671,,
ASO469-516_WT_1.2-4_20210630,B6,ASO470_10,KQ2050_L20_6-08-6_10uM_P40,33.896464283784,24.9339801100508,8.962484173733198,,,,0.5522412237349652,,
ASO469-516_WT_1.2-4_20210630,B7,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.5144132134033,22.4100398243584,9.104373389044902,,,,0.6941304390466687,0.5947175971440005,0.6621740609283376
ASO469-516_WT_1.2-4_20210630,B8,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.5109898505594,22.377082117486,9.1339077330734,,,,0.7236647830751668,,
ASO469-516_WT_1.2-4_20210630,B9,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.1672858561114,22.390685336803,8.7766005193084,,,,0.36635756931016594,,
ASO469-516_WT_1.2-4_20210630,B10,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.3606445579048,22.2296573179181,9.130987239986698,,,,0.7207442899884651,0.6607132464937321,0.6325654889074318
ASO469-516_WT_1.2-4_20210630,B11,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.3845067956236,22.2316219548266,9.152884840797,,,,0.7426418907987671,,
ASO469-516_WT_1.2-4_20210630,B12,ASO470_3,KQ2050_L20_6-08-6_3uM_P40,31.2304011680119,22.3014046593197,8.928996508692197,,,,0.5187535586939642,,
ASO469-516_WT_1.2-4_20210630,C1,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,35.5277821174001,26.5179639466318,9.009818170768302,,,,0.5995752207700686,0.8163982852731007,0.5678578420589344
ASO469-516_WT_1.2-4_20210630,C2,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,36.2782338075711,26.3785530258875,9.8996807816836,,,,1.4894378316853665,,
ASO469-516_WT_1.2-4_20210630,C3,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,35.1302427143602,26.3598179609981,8.7704247533621,,,,0.36018180336386685,,
ASO469-516_WT_1.2-4_20210630,C4,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,36.5921653574469,26.8720569777741,9.720108379672801,,,,1.3098654296745682,1.0175271571878657,0.49396230017186976
ASO469-516_WT_1.2-4_20210630,C5,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,36.6452288885857,26.861660926287,9.783567962298697,,,,1.373325012300464,,
ASO469-516_WT_1.2-4_20210630,C6,ASO471_10,KQ2051_L21_7-08-6_10uM_P40,35.6746679454319,26.8950339658451,8.779633979586798,,,,0.36939102958856473,,
ASO469-516_WT_1.2-4_20210630,C7,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.0600104452779,23.3864301145501,9.673580330727795,,,,1.2633373807295616,1.4354075326084306,0.36974241769184135
ASO469-516_WT_1.2-4_20210630,C8,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.1760044497485,23.3702221356889,9.805782314059599,,,,1.3955393640613654,,
ASO469-516_WT_1.2-4_20210630,C9,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.4643284971301,23.4067396940975,10.057588803032598,,,,1.6473458530343645,,
ASO469-516_WT_1.2-4_20210630,C10,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.3807761983899,23.678109610389,9.702666588000902,,,,1.2924236380026688,1.1542295450752007,0.4493060691935502
ASO469-516_WT_1.2-4_20210630,C11,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,33.3434588242228,23.6550741920539,9.688384632168901,,,,1.2781416821706681,,
ASO469-516_WT_1.2-4_20210630,C12,ASO471_3,KQ2051_L21_7-08-6_3uM_P40,32.9392346813272,23.6368684162767,9.302366265050498,,,,0.8921233150522649,,
ASO469-516_WT_1.2-4_20210630,D1,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,34.7143209749355,27.2438201909767,7.470500783958798,,,,-0.9397421660394354,-0.6990176969815002,1.6233990754403504
ASO469-516_WT_1.2-4_20210630,D2,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,35.4788134823563,27.2038819241964,8.274931558159903,,,,-0.1353113918383304,,
ASO469-516_WT_1.2-4_20210630,D3,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,34.5529394360114,27.1646960190799,7.388243416931498,,,,-1.0219995330667349,,
ASO469-516_WT_1.2-4_20210630,D4,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,35.7520125113285,28.1299714991227,7.622041012205802,,,,-0.7882019377924312,-0.7334742946869325,1.662638235685115
ASO469-516_WT_1.2-4_20210630,D5,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,36.5100984488708,28.1445970267677,8.365501422103101,,,,-0.044741527895132194,,
ASO469-516_WT_1.2-4_20210630,D6,ASO472_10,KQ2052_L21_7-08-6_10uM_P40,35.2169048943657,28.1741413627407,7.042763531624999,,,,-1.3674794183732342,,
ASO469-516_WT_1.2-4_20210630,D7,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.9553214845518,24.3181410806208,8.637180403931001,,,,0.2269374539327682,0.08158011912420153,0.945022039478686
ASO469-516_WT_1.2-4_20210630,D8,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.6117104644872,24.298169764501,8.313540699986202,,,,-0.09670225001203114,,
ASO469-516_WT_1.2-4_20210630,D9,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,32.8104286631418,24.2856805596917,8.5247481034501,,,,0.11450515345186751,,
ASO469-516_WT_1.2-4_20210630,D10,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,33.1728533378106,25.2554561875598,7.9173971502508,,,,-0.4928457997474336,-0.3261218917003325,1.253638934526403
ASO469-516_WT_1.2-4_20210630,D11,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,33.0743520275818,25.2882203509528,7.7861316766290045,,,,-0.6241112733692287,,
ASO469-516_WT_1.2-4_20210630,D12,ASO472_3,KQ2052_L21_7-08-6_3uM_P40,33.8195011040961,25.2706667560822,8.548834348013898,,,,0.13859139801566478,,
ASO469-516_WT_1.2-4_20210630,E1,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,35.1964941693203,25.1137263064858,10.082767862834505,,,,1.6725249128362716,0.9054878145336698,0.5338521635288971
ASO469-516_WT_1.2-4_20210630,E2,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.1045571389239,25.0895967685438,9.014960370380102,,,,0.6047174203818688,,
ASO469-516_WT_1.2-4_20210630,E3,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,33.8986745985799,25.0492105381988,8.849464060381102,,,,0.43922111038286893,,
ASO469-516_WT_1.2-4_20210630,E4,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.6515962904778,25.9161015373309,8.735494753146899,,,,0.32525180314866553,0.29960397391763455,0.8124753937879049
ASO469-516_WT_1.2-4_20210630,E5,ASO473_10,KQ2053_L21_7-08-6_10uM_P40,34.5924563935188,25.8591337761748,8.733322617344001,,,,0.3230796673457679,,
