Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
Rd2.3_P1+2_MT_20210723,C7,KQ2007_3_P2.3-1,KQ2007_L21_6-10-5_3uM_P2.3-1,7.960398650334501,1.6069837212323073,0.32828398555438676,0.033441435671715126,1.8756917243325015
Rd2.3_P1+2_MT_20210723,A17,KQJM085_10_P2.3-1,KQJM085_L18_5-08-5_10uM_P2.3-1,7.425241632440699,1.0718267033385054,0.47571627781722814,0.04796771136067668,1.9425297153141161
Rd2.3_P1+2_Total_20210723,B12,KQ2070_3_P2.3-1,KQ2070_L20_6-08-6_3uM_P2.3-1,6.411772827391399,0.8265843658835408,0.5638626290263478,0.03701767474743119,1.9221324264102915
Rd2.3_P1+2_Total_20210723,F6,KQ2071_10_P2.3-1,KQ2071_L20_6-08-6_10uM_P2.3-1,8.4906156933843,2.905427231876441,0.13346864547307583,0.1468050622078935,1.8718472733344376
Rd2.3_P1+2_Total_20210723,D7,KQ258_3_P2.3-1,KQ258_L20_5-10-5_3uM_P2.3-1,6.730156147151799,1.144967685643941,0.45219981731210696,0.023920026532597553,1.8035184339597214
Rd2.3_P1+2_Total_20210723,B2,KQ380_10_P2.3-1,KQ380_L20_5-10-5_10uM_P2.3-1,6.677131519208402,1.0919430577005436,0.4691291141269217,0.08912495507967788,1.8036479391377653
Rd2.3_P1+2_Total_20210723,B20,KQ380_3_P2.3-1,KQ380_L20_5-10-5_3uM_P2.3-1,6.854596443803199,1.2694079822953412,0.41482996570274616,0.10621219062336995,1.8070532908758836
Rd2.3_P1+2_WT_20210723,D4,KQ2019_10_P2.3-1,KQ2019_L21_6-10-5_10uM_P2.3-1,7.528898176129999,1.051203985922449,0.48256527661353815,0.04586328357593339,1.8771308587294901
Rd2.3_P1+2_WT_20210723,B8,KQ380_3_P2.3-1,KQ380_L20_5-10-5_3uM_P2.3-1,7.069585580359,0.5918913901514493,0.6634725163614189,0.02592023432210081,1.8283141539316632
Rd2.3_P1+2_MT_20210723,M14,KQ279_10_P2.3-2,KQ279_L20_5-10-5_10uM_P2.3-2,8.3750166059855,2.296174799783317,0.20360222042548834,0.03576350727945051,1.9002065882614334
Rd2.3_P1+2_Total_20210723,M12,KQ106_3_P2.3-2,KQ106_L20_5-10-5_3uM_P2.3-2,6.0503792041678,0.6874401148132421,0.6209546808638589,0.06722649994531135,1.8498122973270676
Rd2.3_P1+2_Total_20210723,I23,KQ928_3_P2.3-2,KQ928_L20_5-10-5_3uM_P2.3-2,6.294908237068398,0.93196914771384,0.5241424465166438,0.019503267904372814,1.9872160329452795
Rd2.3_P1+2_Total_20210723,N21,KQ980_3_P2.3-2,KQ980_L20_5-10-5_3uM_P2.3-2,6.9995400557025995,1.6366009663480412,0.32161331327787945,0.025492162792743717,1.8487534982984484
Rd2.3_P1+2_WT_20210723,O3,Naive_P2.3-2,Naive_P2.3-2,5.814878763359598,-0.3113955926964351,1.2409075128258125,0.14348188277985205,2.2149549220611306
Rd2.3_P1+2_WT_20210723,P17,Ionis676630_3_P2.3-2,Ionis676630_3uM_P2.3-2,6.574720074107301,0.4484457180512677,0.732831936501542,0.09318422383645492,1.9085755922462622
Rd2.3_P1+2_WT_20210723,N23,KQ105_3_P2.3-2,KQ105_L20_5-10-5_3uM_P2.3-2,8.3169462691089,2.190671913052867,0.21904938768114102,0.10016730537689131,1.8539792627006093
Rd2.3_P1+2_WT_20210723,K23,KQ104_3_P2.3-2,KQ104_L20_5-10-5_3uM_P2.3-2,7.577036779756298,1.4507624237002652,0.3658280430743241,0.03543821354936719,1.959369565122288
Rd2.3_P1+2_WT_20210723,I12,KQ928_3_P2.3-2,KQ928_L20_5-10-5_3uM_P2.3-2,7.305371891232198,1.1790975351761652,0.44162766794871966,0.05863974448817553,1.842631825636188
Rd2.3_P1+2_WT_20210723,K15,KQ280_10_P2.3-2,KQ280_L20_5-10-5_10uM_P2.3-2,6.549396744408497,0.4231223883524642,0.745808741363544,0.13352661001840987,1.842443468119652
Rd2.3_P1+2_WT_20210723,I9,KQ973_3_P2.3-2,KQ973_L20_5-10-5_3uM_P2.3-2,7.621059298868701,1.494784942812668,0.35483372885301834,0.04615496674147315,1.8382478598148484
Rd2.3_P3+4_MT_20210726,H2,Naive_P2.3-3,Naive_P2.3-3,6.885795772016898,0.5181256091581155,0.6982784675296538,0.09690751694675792,2.0674334034709796
Rd2.3_P3+4_MT_20210726,H8,Ionis1375651_10_P2.3-3,Ionis1375651_10uM_P2.3-3,10.188212691876796,3.820542529018013,0.07077862135114622,0.018200973884888408,1.8280977209118319
Rd2.3_P3+4_MT_20210726,H14,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,6.774234685805098,0.406564522946315,0.7544177247358478,0.08304926009561733,1.809586388263546
Rd2.3_P3+4_MT_20210726,E6,KQ274_10_P2.3-3,KQ274_L20_5-10-5_10uM_P2.3-3,7.628505718270297,1.2608355554115145,0.4173022037677058,0.07585048416476296,1.8568398120585967
Rd2.3_P3+4_Total_20210726,H3,Naive_P2.3-3,Naive_P2.3-3,4.852143371774698,-0.5276340552756942,1.4415631674605378,0.27991993309625046,2.5662976451411628
Rd2.3_P3+4_Total_20210726,F23,KQ273_3_P2.3-3,KQ273_L20_5-10-5_3uM_P2.3-3,7.1009831587590995,1.7212057317087073,0.30329513637785155,0.0202885341830197,1.8478877879544016
Rd2.3_P3+4_Total_20210726,D10,KQ288_3_P2.3-3,KQ288_L20_5-10-5_3uM_P2.3-3,6.3763293662111025,0.9965519391607104,0.5011964360042467,0.044032168516828785,1.8071781787142773
Rd2.3_P3+4_WT_20210726,H13,Ionis676630_10_P2.3-3,Ionis676630_10uM_P2.3-3,7.520287860889798,1.1837369558094224,0.4402097621797133,0.0687450944549043,1.9196461118738364
Rd2.3_P3+4_WT_20210726,B3,KQ921_10_P2.3-3,KQ921_L20_5-10-5_10uM_P2.3-3,7.4609345552701,1.1243836501897242,0.458697945203965,0.08590654284090812,1.9173040073744063
Rd2.3_P3+4_WT_20210726,C13,KQJM101_10_P2.3-3,KQJM101_L21_7-08-6_10uM_P2.3-3,7.6939016690981,1.357350764017724,0.39029834110589107,0.06502902698039643,1.9266825747640837
Rd2.3_P3+4_WT_20210726,D6,KQ288_10_P2.3-3,KQ288_L20_5-10-5_10uM_P2.3-3,7.656615246490901,1.320064341410525,0.4005170761089788,0.026328380232044365,1.9260103777416633
Rd2.3_P3+4_MT_20210726,P15,Ionis676630_10_P2.3-4,Ionis676630_10uM_P2.3-4,6.259266641884903,-0.1075839049396805,1.0774223553319526,0.3028791798942279,1.9853342392749591
Rd2.3_P3+4_MT_20210726,J7,KQ455_3_P2.3-4,KQ455_L20_5-10-5_3uM_P2.3-4,7.188814830903301,0.8219642840787174,0.5656712352273968,0.04080089223679875,1.8571199412862907
Rd2.3_P3+4_MT_20210726,I3,KQJM008_10_P2.3-4,KQJM008_L20_6-08-6_10uM_P2.3-4,6.6663640467489,0.2995134999243163,0.8125263471746009,0.11933769636610578,1.9758743769708733
Rd2.3_P3+4_MT_20210726,I7,KQJM008_3_P2.3-4,KQJM008_L20_6-08-6_3uM_P2.3-4,7.342168171802001,0.9753176249774178,0.5086278537791649,0.05572335731201111,1.8456866363432092
Rd2.3_P3+4_Total_20210726,P15,Ionis676630_10_P2.3-4,Ionis676630_10uM_P2.3-4,5.990703488112601,-0.0579547274381075,1.0409889303677997,0.34515186771008155,1.9671295591903766
Rd2.3_P3+4_WT_20210726,O3,Naive_P2.3-4,Naive_P2.3-4,8.7621846138669,2.1347090070678654,0.22771338376763087,0.8781002446531876,2.174539431298634
Rd2.3_P3+4_WT_20210726,O9,Ionis1375651_10_P2.3-4,Ionis1375651_10uM_P2.3-4,9.027287936873602,2.3998123300745675,0.18948921851385747,0.05919175172651001,1.8123151582780825
Rd2.3_P3+4_WT_20210726,P13,Ionis676630_10_P2.3-4,Ionis676630_10uM_P2.3-4,7.072914145838997,0.4454385390399622,0.7343610574364519,0.17229107470634375,1.8382707377146745
Rd2.3_P3+4_WT_20210726,M4,KQ956_10_P2.3-4,KQ956_L20_5-10-5_10uM_P2.3-4,8.112566182334998,1.4850905755359634,0.357226106798435,0.06212804679748576,1.9083088427180601
Rd2.3_P5+6_MT_20210726,D8,KQ993_3_P2.3-5,KQ993_L20_5-10-5_3uM_P2.3-5,8.685425328321397,2.16552601008003,0.22290084485370099,0.047296973741774974,1.9202389725946656
Rd2.3_P5+6_MT_20210726,F2,KQJM156_10_P2.3-5,KQJM156_L18_5-08-5_10uM_P2.3-5,9.305266143257995,2.785366825016628,0.14505110337477808,0.12670968535139857,1.9150519478240482
Rd2.3_P5+6_MT_20210726,A17,KQ484_10_P2.3-5,KQ484_L20_5-10-5_10uM_P2.3-5,7.8057959447261,1.285896626484733,0.4101158406007888,0.05787852107407078,1.8815417001961796
Rd2.3_P5+6_MT_20210726,C18,KQJM172_10_P2.3-5,KQJM172_L19_5-10-4_10uM_P2.3-5,9.322090281708505,2.8021909634671376,0.14336939956858008,0.014659359072459827,1.9041089446638453
Rd2.3_P5+6_MT_20210726,E17,KQJM173_10_P2.3-5,KQJM173_L17_5-08-4_10uM_P2.3-5,7.2139237816152,0.6940244633738333,0.6181271489634864,0.044260115803202556,1.8961406466716557
Rd2.3_P5+6_MT_20210726,C8,KQ2021_3_P2.3-5,KQ2021_L21_6-10-5_3uM_P2.3-5,8.0924482325138,1.5725489142724325,0.3362138556883239,0.018796164267613383,2.0165103278118943
Rd2.3_P5+6_Total_20210726,H3,Naive_P2.3-5,Naive_P2.3-5,5.5294117395614,-0.0916079507858915,1.06555713390555,0.0236754117624539,1.842806929566614
Rd2.3_P5+6_Total_20210726,G17,Ionis676630_3_P2.3-5,Ionis676630_3uM_P2.3-5,6.014370789139001,0.393351098791709,0.7613590605740221,0.14350142788286807,1.922312559160512
Rd2.3_P5+6_Total_20210726,A10,KQ484_3_P2.3-5,KQ484_L20_5-10-5_3uM_P2.3-5,6.777579320548501,1.156559630201209,0.44858098428161225,0.04944391091155714,1.8604160643899883
Rd2.3_P5+6_Total_20210726,F23,KQJM064_3_P2.3-5,KQJM064_L19_6-08-5_3uM_P2.3-5,6.9753591363915,1.3543394460442082,0.39111385639985985,0.021032795151183486,1.8393581626872186
Rd2.3_P5+6_Total_20210726,C2,KQ2021_10_P2.3-5,KQ2021_L21_6-10-5_10uM_P2.3-5,8.460022504011999,2.839002813664707,0.1397574588037649,0.034715372669382225,1.801394327989063
Rd2.3_P5+6_Total_20210726,A2,KQ991_10_P2.3-5,KQ991_L20_5-10-5_10uM_P2.3-5,8.132523828141203,2.511504137793911,0.17537267252315536,0.10886631251143754,2.018013803993252
Rd2.3_P5+6_WT_20210726,G4,Naive_P2.3-5,Naive_P2.3-5,6.552285246272099,0.1659630648996328,0.8913333150396889,0.09042554072718104,2.2996588679258614
Rd2.3_P5+6_WT_20210726,G10,Ionis1375651_3_P2.3-5,Ionis1375651_3uM_P2.3-5,8.445002479957502,2.058680298585036,0.24003550126583836,0.04306083024976189,1.9429469976264755
Rd2.3_P5+6_WT_20210726,B22,KQ297_3_P2.3-5,KQ297_L20_5-10-5_3uM_P2.3-5,7.3281699506717,0.9418477692992342,0.520565725144621,0.04665750809201376,1.8604123778863302
Rd2.3_P5+6_WT_20210726,C22,KQJM172_3_P2.3-5,KQJM172_L19_5-10-4_3uM_P2.3-5,6.967785340663003,0.5814631592905366,0.6682856684624419,0.035787836583659104,1.8191647101580013
Rd2.3_P5+6_Total_20210726,P13,Ionis676630_10_P2.3-6,Ionis676630_10uM_P2.3-6,5.722839103076602,-0.0061329083490226,1.0042600564828175,0.3218282501647741,1.9219871375131614
Rd2.3_P5+6_Total_20210726,L15,KQ2026_10_P2.3-6,KQ2026_L21_6-10-5_10uM_P2.3-6,1.0330974972486011,-4.695874514177024,25.917856719261394,14.313864057017684,2.039366227029188
Rd2.3_P5+6_Total_20210726,N16,KQ271_10_P2.3-6,KQ271_L20_5-10-5_10uM_P2.3-6,8.575906951630099,2.8469349402044744,0.13899116249569782,0.03982251748836211,1.8239278309249591
Rd2.3_P5+6_Total_20210726,M11,KQ347_3_P2.3-6,KQ347_L20_5-10-5_3uM_P2.3-6,6.394294407105001,0.6653223956793761,0.6305477816354953,0.06572791927166183,1.8857188591656802
Rd2.3_P5+6_WT_20210726,P6,Naive_P2.3-6,Naive_P2.3-6,5.924505235389002,-0.5566273940207402,1.4708268251993983,0.34686858144549654,2.6074376815361746
Rd2.3_P5+6_WT_20210726,P13,Ionis676630_10_P2.3-6,Ionis676630_10uM_P2.3-6,6.776099231398703,0.2949666019889605,0.8150912013313145,0.09729924018956874,1.8618294428192366
Rd2.3_P7+8_MT_20210726,H2,Naive_P2.3-7,Naive_P2.3-7,6.571174230510703,-0.2432701410562474,1.1836726407595224,0.11632041459259934,2.3400162306763246
Rd2.3_P7+8_MT_20210726,F22,KQ498_3_P2.3-7,KQ498_L20_5-10-5_3uM_P2.3-7,7.6439913123533,0.8295469407863498,0.5627059249216004,0.07722328233889843,1.9331669386104866
Rd2.3_P7+8_MT_20210726,E5,KQ499_10_P2.3-7,KQ499_L20_5-10-5_10uM_P2.3-7,8.472013144661197,1.6575687730942468,0.3169728607155703,0.037930311379750864,1.8517654847507883
Rd2.3_P7+8_MT_20210726,F20,KQJM155_3_P2.3-7,KQJM155_L17_4-10-3_3uM_P2.3-7,7.083979292399501,0.2695349208325508,0.8295869352545325,0.038226693983533705,1.8493796416222033
Rd2.3_P7+8_Total_20210726,B24,KQ2022_3_P2.3-7,KQ2022_L21_6-10-5_3uM_P2.3-7,5.303572170120702,-0.7635381786868471,1.6976489712531417,0.6744369946085846,1.993380903239486
Rd2.3_P7+8_Total_20210726,E6,KQ499_10_P2.3-7,KQ499_L20_5-10-5_10uM_P2.3-7,7.745954440662199,1.67884409185465,0.31233278254743224,0.06724345345877596,1.9005597277457462
Rd2.3_P7+8_WT_20210726,H3,Naive_P2.3-7,Naive_P2.3-7,6.402638968133999,-0.3105764194794007,1.2402031161017972,0.07771924863920696,2.1888651555151046
Rd2.3_P7+8_WT_20210726,F12,KQ498_3_P2.3-7,KQ498_L20_5-10-5_3uM_P2.3-7,6.391700097963199,-0.3215152896502014,1.249642382682994,0.28708837962345646,1.9757986720156822
Rd2.3_P7+8_WT_20210726,E8,KQJM154_3_P2.3-7,KQJM154_L17_5-08-4_3uM_P2.3-7,6.5943186541945025,-0.1188967334188975,1.0859041256746338,0.08736333222927711,1.848218413868639
Rd2.3_P7+8_WT_20210726,F19,KQJM155_3_P2.3-7,KQJM155_L17_4-10-3_3uM_P2.3-7,6.8639861963754,0.1507708087620001,0.9007690675929066,0.049492235068861364,1.8271026802170938
Rd2.3_P7+8_MT_20210726,O9,Ionis1375651_10_P2.3-8,Ionis1375651_10uM_P2.3-8,8.234166385778597,1.3669619814997924,0.38770682005037854,0.164686259564628,1.8136548062586004
Rd2.3_P7+8_MT_20210726,O15,Ionis676630_10_P2.3-8,Ionis676630_10uM_P2.3-8,6.9990531734123955,0.1318487691335912,0.9126611534616732,0.11856910640073451,1.8085640549948268
Rd2.3_P7+8_MT_20210726,J9,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,6.7356349831668005,-0.1315694211120037,1.0954847652484967,0.10060953398135715,1.8659223238974525
Rd2.3_P7+8_MT_20210726,N7,BS194_3_P2.3-8,BS194_TMO_3uM_P2.3-8,6.810242004495699,-0.0569623997831056,1.040273154065903,0.11266729101117906,1.8946648984472407
Rd2.3_P7+8_WT_20210726,P17,Ionis676630_3_P2.3-8,Ionis676630_3uM_P2.3-8,8.4272181665381,1.6920072280194258,0.3094960221052486,0.25806290753559863,2.0046183515845484
Rd2.3_P7+8_WT_20210726,I7,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,6.193896869621199,-0.541314068897476,1.455297461546544,0.15919313330882673,1.8560094849356137
Rd2.3_P7+8_WT_20210726,N3,BS194_10_P2.3-8,BS194_TMO_10uM_P2.3-8,7.1218803828422,0.386669444323525,0.7648933740922274,0.049558500240597096,1.9287831872161691
Rd2.3_P7+8_WT_20210726,M4,BS199_10_P2.3-8,BS199_TMO_10uM_P2.3-8,7.840729879818202,1.1055189412995272,0.464735274705383,0.09837063918895597,1.8724561426124977
